Richarlison Everton 123 £7.5
Iheanacho Leicester 110 £7.5
Wilson Newcastle 134 £7.5
Antonio WestHam 118 £7.5
Jiménez Wolves 43 £7.5
Daka Leicester 0 £7.5
Wood Burnley 138 £7.0
Adams Southampton 137 £7.0
Maupay Brighton 105 £6.5
Toney Brentford 0 £6.5
Giroud Chelsea 47 £6.5
Abraham Chelsea 69 £6.5
Benteke CrystalPalace 106 £6.5
Rodrigo Leeds 89 £6.5
Saint-Maximin Newcastle 85 £6.5
Ayew CrystalPalace 70 £6.0
Joelinton Newcastle 74 £6.0
Pukki Norwich 0 £6.0
FabioSilva Wolves 72 £6.0
Welbeck Brighton 89 £6.0
Nketiah Arsenal 36 £5.5
Wesley AstonVilla 3 £5.5
Samatta AstonVilla 0 £5.5
Connolly Brighton 38 £5.5
Forss Brentford 0 £5.5
Dervişoğlu Brentford 0 £5.5
Rodriguez Burnley 54 £5.5
Barnes Burnley 52 £5.5
Vydra Burnley 62 £5.5
Batshuayi Chelsea 41 £5.5
Mateta CrystalPalace 15 £5.5
Gayle Newcastle 31 £5.5
Hugill Norwich 0 £5.5
Deeney Watford 0 £5.5
Gray Watford 0 £5.5
JoãoPedro Watford 0 £5.5
Origi Liverpool 10 £5.0
Idah Norwich 0 £5.0
Success Watford 0 £5.0
Fletcher Watford 0 £5.0
Dennis Watford 0 £5.0
Davis AstonVilla 23 £4.5
Nlundulu Southampton 13 £4.5
Obafemi Southampton 4 £4.5
Perica Watford 0 £4.5
